k (m),x (m),y (m)
2.650,0.307,0.301
2.660,0.300,0.294
2.670,0.293,0.287
2.680,0.286,0.280
2.690,0.279,0.273
2.700,0.272,0.266
2.710,0.264,0.259
2.720,0.257,0.252
2.730,0.250,0.245
2.740,0.243,0.238
2.750,0.236,0.231
2.760,0.229,0.224
2.770,0.222,0.217
2.780,0.214,0.210
2.790,0.207,0.203
2.800,0.200,0.196
2.810,0.193,0.189
2.820,0.186,0.182
2.830,0.179,0.175
2.840,0.172,0.168
2.850,0.164,0.161
2.860,0.157,0.154
2.870,0.150,0.147
2.880,0.143,0.140
2.890,0.136,0.133
2.900,0.129,0.126
2.910,0.122,0.119
2.920,0.114,0.112
2.930,0.107,0.105
2.940,0.100,0.098
2.950,0.093,0.091
2.960,0.086,0.084
2.970,0.079,0.077
2.980,0.072,0.070
2.990,0.064,0.063
3.000,0.057,0.056
3.010,0.050,0.049
3.020,0.043,0.042
3.030,0.036,0.035
3.040,0.029,0.028
3.050,0.022,0.021
3.060,0.014,0.014
3.070,0.007,0.007
3.080,0.000,0.000
